"Region.Name","Region.Code","Year","Education","Gender","Number.of.Enrolment","Vizside"
"Europe & Central Asia","ECS",1982,"Pre-primary","Female",12210764,"education"
"Europe & Central Asia","ECS",1983,"Pre-primary","Female",12321926,"education"
"Europe & Central Asia","ECS",1984,"Pre-primary","Female",12460976,"education"
"Europe & Central Asia","ECS",1985,"Pre-primary","Female",12642827,"education"
"Europe & Central Asia","ECS",1986,"Pre-primary","Female",12837562,"education"
"Europe & Central Asia","ECS",1987,"Pre-primary","Female",12994701,"education"
"Europe & Central Asia","ECS",1988,"Pre-primary","Female",13155439,"education"
"Europe & Central Asia","ECS",1989,"Pre-primary","Female",13296680,"education"
"Europe & Central Asia","ECS",1990,"Pre-primary","Female",13438194,"education"
"Europe & Central Asia","ECS",1991,"Pre-primary","Female",13291607,"education"
"Europe & Central Asia","ECS",1992,"Pre-primary","Female",13095790,"education"
"Europe & Central Asia","ECS",1993,"Pre-primary","Female",12756437,"education"
"Europe & Central Asia","ECS",1994,"Pre-primary","Female",12087216,"education"
"Europe & Central Asia","ECS",1995,"Pre-primary","Female",11762944,"education"
"Europe & Central Asia","ECS",1996,"Pre-primary","Female",11532009,"education"
"Europe & Central Asia","ECS",1997,"Pre-primary","Female",11152778,"education"
"Europe & Central Asia","ECS",1998,"Pre-primary","Female",10563594,"education"
"Europe & Central Asia","ECS",1999,"Pre-primary","Female",10291338,"education"
"Europe & Central Asia","ECS",2000,"Pre-primary","Female",10083286,"education"
"Europe & Central Asia","ECS",2001,"Pre-primary","Female",10048804,"education"
"Europe & Central Asia","ECS",2002,"Pre-primary","Female",10021715,"education"
"Europe & Central Asia","ECS",2003,"Pre-primary","Female",10033221,"education"
"Europe & Central Asia","ECS",2004,"Pre-primary","Female",9959795,"education"
"Europe & Central Asia","ECS",2005,"Pre-primary","Female",10182206,"education"
"Europe & Central Asia","ECS",2006,"Pre-primary","Female",10450288,"education"
"Europe & Central Asia","ECS",2007,"Pre-primary","Female",10642358,"education"
"Europe & Central Asia","ECS",2008,"Pre-primary","Female",10973146,"education"
"Europe & Central Asia","ECS",2009,"Pre-primary","Female",11209919,"education"
"Europe & Central Asia","ECS",2010,"Pre-primary","Female",11526514,"education"
"Europe & Central Asia","ECS",2011,"Pre-primary","Female",11901870,"education"
"Europe & Central Asia","ECS",2012,"Pre-primary","Female",12278420,"education"
"Europe & Central Asia","ECS",2013,"Pre-primary","Female",11916636,"education"
"Europe & Central Asia","ECS",2014,"Pre-primary","Female",12330168,"education"
"Europe & Central Asia","ECS",2015,"Pre-primary","Female",NA,"education"
"Europe & Central Asia","ECS",2016,"Pre-primary","Female",NA,"education"
"Europe & Central Asia","ECS",2017,"Pre-primary","Female",NA,"education"
"Latin America & Caribbean","LCN",1970,"Pre-primary","Female",933258.875,"education"
"Latin America & Caribbean","LCN",1971,"Pre-primary","Female",991508.9375,"education"
"Latin America & Caribbean","LCN",1972,"Pre-primary","Female",1053765.75,"education"
"Latin America & Caribbean","LCN",1973,"Pre-primary","Female",1108094.75,"education"
"Latin America & Caribbean","LCN",1974,"Pre-primary","Female",1184369.375,"education"
"Latin America & Caribbean","LCN",1975,"Pre-primary","Female",1316060.875,"education"
"Latin America & Caribbean","LCN",1976,"Pre-primary","Female",1510717.375,"education"
"Latin America & Caribbean","LCN",1977,"Pre-primary","Female",1678549.125,"education"
"Latin America & Caribbean","LCN",1978,"Pre-primary","Female",1829711,"education"
"Latin America & Caribbean","LCN",1979,"Pre-primary","Female",2037233.75,"education"
"Latin America & Caribbean","LCN",1980,"Pre-primary","Female",2203290.5,"education"
"Latin America & Caribbean","LCN",1981,"Pre-primary","Female",2533279.75,"education"
"Latin America & Caribbean","LCN",1982,"Pre-primary","Female",2952351.5,"education"
"Latin America & Caribbean","LCN",1983,"Pre-primary","Female",3295982.75,"education"
"Latin America & Caribbean","LCN",1984,"Pre-primary","Female",3685570.5,"education"
"Latin America & Caribbean","LCN",1985,"Pre-primary","Female",3972031.75,"education"
"Latin America & Caribbean","LCN",1986,"Pre-primary","Female",4363946,"education"
"Latin America & Caribbean","LCN",1987,"Pre-primary","Female",5356602,"education"
"Latin America & Caribbean","LCN",1988,"Pre-primary","Female",5483520,"education"
"Latin America & Caribbean","LCN",1989,"Pre-primary","Female",5586520,"education"
"Latin America & Caribbean","LCN",1990,"Pre-primary","Female",6124632,"education"
"Latin America & Caribbean","LCN",1991,"Pre-primary","Female",6061864,"education"
"Latin America & Caribbean","LCN",1992,"Pre-primary","Female",6395446,"education"
"Latin America & Caribbean","LCN",1993,"Pre-primary","Female",6641555,"education"
"Latin America & Caribbean","LCN",1994,"Pre-primary","Female",6765355.5,"education"
"Latin America & Caribbean","LCN",1995,"Pre-primary","Female",7014085,"education"
"Latin America & Caribbean","LCN",1996,"Pre-primary","Female",7251725.5,"education"
"Latin America & Caribbean","LCN",1997,"Pre-primary","Female",7390965,"education"
"Latin America & Caribbean","LCN",1998,"Pre-primary","Female",7660535.5,"education"
"Latin America & Caribbean","LCN",1999,"Pre-primary","Female",7722814,"education"
"Latin America & Caribbean","LCN",2000,"Pre-primary","Female",8134195,"education"
"Latin America & Caribbean","LCN",2001,"Pre-primary","Female",8200643.5,"education"
"Latin America & Caribbean","LCN",2002,"Pre-primary","Female",8245221.5,"education"
"Latin America & Caribbean","LCN",2003,"Pre-primary","Female",8330250,"education"
"Latin America & Caribbean","LCN",2004,"Pre-primary","Female",8614520,"education"
"Latin America & Caribbean","LCN",2005,"Pre-primary","Female",8844836,"education"
"Latin America & Caribbean","LCN",2006,"Pre-primary","Female",9001317,"education"
"Latin America & Caribbean","LCN",2007,"Pre-primary","Female",9114105,"education"
"Latin America & Caribbean","LCN",2008,"Pre-primary","Female",9432456,"education"
"Latin America & Caribbean","LCN",2009,"Pre-primary","Female",9514124,"education"
"Latin America & Caribbean","LCN",2010,"Pre-primary","Female",9477230,"education"
"Latin America & Caribbean","LCN",2011,"Pre-primary","Female",9534204,"education"
"Latin America & Caribbean","LCN",2012,"Pre-primary","Female",9605295,"education"
"Latin America & Caribbean","LCN",2013,"Pre-primary","Female",9824201,"education"
"Latin America & Caribbean","LCN",2014,"Pre-primary","Female",9880105,"education"
"Latin America & Caribbean","LCN",2015,"Pre-primary","Female",NA,"education"
"Latin America & Caribbean","LCN",2016,"Pre-primary","Female",NA,"education"
"Latin America & Caribbean","LCN",2017,"Pre-primary","Female",NA,"education"
"Middle East & North Africa","MEA",1970,"Pre-primary","Female",271018.09375,"education"
"Middle East & North Africa","MEA",1971,"Pre-primary","Female",276210.96875,"education"
"Middle East & North Africa","MEA",1972,"Pre-primary","Female",284698.34375,"education"
"Middle East & North Africa","MEA",1973,"Pre-primary","Female",291873.71875,"education"
"Middle East & North Africa","MEA",1974,"Pre-primary","Female",311771.625,"education"
"Middle East & North Africa","MEA",1975,"Pre-primary","Female",372938.375,"education"
"Middle East & North Africa","MEA",1976,"Pre-primary","Female",449175.84375,"education"
"Middle East & North Africa","MEA",1977,"Pre-primary","Female",499596.3125,"education"
"Middle East & North Africa","MEA",1978,"Pre-primary","Female",512619.09375,"education"
"Middle East & North Africa","MEA",1979,"Pre-primary","Female",571702.9375,"education"
"Middle East & North Africa","MEA",1980,"Pre-primary","Female",585070.75,"education"
"Middle East & North Africa","MEA",1981,"Pre-primary","Female",587771.4375,"education"
"Middle East & North Africa","MEA",1982,"Pre-primary","Female",639350.0625,"education"
"Middle East & North Africa","MEA",1983,"Pre-primary","Female",662504.625,"education"
"Middle East & North Africa","MEA",1984,"Pre-primary","Female",715291.9375,"education"
"Middle East & North Africa","MEA",1985,"Pre-primary","Female",679933.875,"education"
"Middle East & North Africa","MEA",1986,"Pre-primary","Female",726949.8125,"education"
"Middle East & North Africa","MEA",1987,"Pre-primary","Female",761161.375,"education"
"Middle East & North Africa","MEA",1988,"Pre-primary","Female",789068.1875,"education"
"Middle East & North Africa","MEA",1989,"Pre-primary","Female",844683.875,"education"
"Middle East & North Africa","MEA",1990,"Pre-primary","Female",895023,"education"
"Middle East & North Africa","MEA",1991,"Pre-primary","Female",925291.5625,"education"
"Middle East & North Africa","MEA",1992,"Pre-primary","Female",942311.3125,"education"
"Middle East & North Africa","MEA",1993,"Pre-primary","Female",935475.5,"education"
"Middle East & North Africa","MEA",1994,"Pre-primary","Female",944416.8125,"education"
"Middle East & North Africa","MEA",1995,"Pre-primary","Female",953757.5625,"education"
"Middle East & North Africa","MEA",1996,"Pre-primary","Female",997347.25,"education"
"Middle East & North Africa","MEA",1997,"Pre-primary","Female",1060647.625,"education"
"Middle East & North Africa","MEA",1998,"Pre-primary","Female",1118678.75,"education"
"Middle East & North Africa","MEA",1999,"Pre-primary","Female",1116211.125,"education"
"Middle East & North Africa","MEA",2000,"Pre-primary","Female",1180769.75,"education"
"Middle East & North Africa","MEA",2001,"Pre-primary","Female",1223785.875,"education"
"Middle East & North Africa","MEA",2002,"Pre-primary","Female",1284965.625,"education"
"Middle East & North Africa","MEA",2003,"Pre-primary","Female",1364741.625,"education"
"Middle East & North Africa","MEA",2004,"Pre-primary","Female",1427956.25,"education"
"Middle East & North Africa","MEA",2005,"Pre-primary","Female",1532464,"education"
"Middle East & North Africa","MEA",2006,"Pre-primary","Female",1658841.125,"education"
"Middle East & North Africa","MEA",2007,"Pre-primary","Female",1704627.5,"education"
"Middle East & North Africa","MEA",2008,"Pre-primary","Female",1800473.5,"education"
"Middle East & North Africa","MEA",2009,"Pre-primary","Female",1991851.75,"education"
"Middle East & North Africa","MEA",2010,"Pre-primary","Female",2059151.875,"education"
"Middle East & North Africa","MEA",2011,"Pre-primary","Female",2123003.25,"education"
"Middle East & North Africa","MEA",2012,"Pre-primary","Female",2151938,"education"
"Middle East & North Africa","MEA",2013,"Pre-primary","Female",2243447.5,"education"
"Middle East & North Africa","MEA",2014,"Pre-primary","Female",2511858.75,"education"
"Middle East & North Africa","MEA",2015,"Pre-primary","Female",NA,"education"
"Middle East & North Africa","MEA",2016,"Pre-primary","Female",NA,"education"
"Middle East & North Africa","MEA",2017,"Pre-primary","Female",NA,"education"
"North America","NAC",1970,"Pre-primary","Female",NA,"education"
"North America","NAC",1971,"Pre-primary","Female",NA,"education"
"North America","NAC",1972,"Pre-primary","Female",NA,"education"
"North America","NAC",1973,"Pre-primary","Female",NA,"education"
"North America","NAC",1974,"Pre-primary","Female",NA,"education"
"North America","NAC",1975,"Pre-primary","Female",NA,"education"
"North America","NAC",1976,"Pre-primary","Female",NA,"education"
"North America","NAC",1977,"Pre-primary","Female",NA,"education"
"North America","NAC",1978,"Pre-primary","Female",NA,"education"
"North America","NAC",1979,"Pre-primary","Female",NA,"education"
"North America","NAC",1980,"Pre-primary","Female",2461493.75,"education"
"North America","NAC",1981,"Pre-primary","Female",2643352,"education"
"North America","NAC",1982,"Pre-primary","Female",2660342,"education"
"North America","NAC",1983,"Pre-primary","Female",2868039,"education"
"North America","NAC",1984,"Pre-primary","Female",3002623.75,"education"
"North America","NAC",1985,"Pre-primary","Female",3076277.75,"education"
"North America","NAC",1986,"Pre-primary","Female",3319017.25,"education"
"North America","NAC",1987,"Pre-primary","Female",3330183.25,"education"
"North America","NAC",1988,"Pre-primary","Female",3293637,"education"
"North America","NAC",1989,"Pre-primary","Female",3420157.25,"education"
"North America","NAC",1990,"Pre-primary","Female",3472978.75,"education"
"North America","NAC",1991,"Pre-primary","Female",3741619.25,"education"
"North America","NAC",1992,"Pre-primary","Female",3869071.75,"education"
"North America","NAC",1993,"Pre-primary","Female",3974098.5,"education"
"North America","NAC",1994,"Pre-primary","Female",4074870.75,"education"
"North America","NAC",1995,"Pre-primary","Female",4171259.25,"education"
"North America","NAC",1996,"Pre-primary","Female",4352364,"education"
"North America","NAC",1997,"Pre-primary","Female",4051651.25,"education"
"North America","NAC",1998,"Pre-primary","Female",3734107.75,"education"
"North America","NAC",1999,"Pre-primary","Female",3695805.25,"education"
"North America","NAC",2000,"Pre-primary","Female",3741477.5,"education"
"North America","NAC",2001,"Pre-primary","Female",3965430.25,"education"
"North America","NAC",2002,"Pre-primary","Female",4040816.75,"education"
"North America","NAC",2003,"Pre-primary","Female",3759170,"education"
"North America","NAC",2004,"Pre-primary","Female",3779669,"education"
"North America","NAC",2005,"Pre-primary","Female",3679979,"education"
"North America","NAC",2006,"Pre-primary","Female",3823974,"education"
"North America","NAC",2007,"Pre-primary","Female",3862797,"education"
"North America","NAC",2008,"Pre-primary","Female",3732733.25,"education"
"North America","NAC",2009,"Pre-primary","Female",3735939.25,"education"
"North America","NAC",2010,"Pre-primary","Female",4652124,"education"
"North America","NAC",2011,"Pre-primary","Female",4597990,"education"
"North America","NAC",2012,"Pre-primary","Female",4677576,"education"
"North America","NAC",2013,"Pre-primary","Female",4533483.5,"education"
"North America","NAC",2014,"Pre-primary","Female",4577539.5,"education"
"North America","NAC",2015,"Pre-primary","Female",NA,"education"
"North America","NAC",2016,"Pre-primary","Female",NA,"education"
"North America","NAC",2017,"Pre-primary","Female",NA,"education"
"Sub-Saharan Africa","SSF",1970,"Pre-primary","Female",NA,"education"
"Sub-Saharan Africa","SSF",1971,"Pre-primary","Female",NA,"education"
"Sub-Saharan Africa","SSF",1972,"Pre-primary","Female",NA,"education"
"Sub-Saharan Africa","SSF",1973,"Pre-primary","Female",NA,"education"
"Sub-Saharan Africa","SSF",1974,"Pre-primary","Female",NA,"education"
"Sub-Saharan Africa","SSF",1975,"Pre-primary","Female",NA,"education"
"Sub-Saharan Africa","SSF",1976,"Pre-primary","Female",NA,"education"
"Sub-Saharan Africa","SSF",1977,"Pre-primary","Female",NA,"education"
"Sub-Saharan Africa","SSF",1978,"Pre-primary","Female",NA,"education"
"Sub-Saharan Africa","SSF",1979,"Pre-primary","Female",NA,"education"
"Sub-Saharan Africa","SSF",1980,"Pre-primary","Female",NA,"education"
"Sub-Saharan Africa","SSF",1981,"Pre-primary","Female",NA,"education"
"Sub-Saharan Africa","SSF",1982,"Pre-primary","Female",NA,"education"
"Sub-Saharan Africa","SSF",1983,"Pre-primary","Female",1662123.375,"education"
"Sub-Saharan Africa","SSF",1984,"Pre-primary","Female",1690942.625,"education"
"Sub-Saharan Africa","SSF",1985,"Pre-primary","Female",1721521.375,"education"
"Sub-Saharan Africa","SSF",1986,"Pre-primary","Female",1793118.375,"education"
"Sub-Saharan Africa","SSF",1987,"Pre-primary","Female",1956770.25,"education"
"Sub-Saharan Africa","SSF",1988,"Pre-primary","Female",2057867.875,"education"
"Sub-Saharan Africa","SSF",1989,"Pre-primary","Female",2131140.75,"education"
"Sub-Saharan Africa","SSF",1990,"Pre-primary","Female",2194187.25,"education"
"Sub-Saharan Africa","SSF",1991,"Pre-primary","Female",2213012,"education"
"Sub-Saharan Africa","SSF",1992,"Pre-primary","Female",2279216.5,"education"
"Sub-Saharan Africa","SSF",1993,"Pre-primary","Female",2306349.75,"education"
"Sub-Saharan Africa","SSF",1994,"Pre-primary","Female",2362797.25,"education"
"Sub-Saharan Africa","SSF",1995,"Pre-primary","Female",2425385.75,"education"
"Sub-Saharan Africa","SSF",1996,"Pre-primary","Female",2550623.5,"education"
"Sub-Saharan Africa","SSF",1997,"Pre-primary","Female",2646084.75,"education"
"Sub-Saharan Africa","SSF",1998,"Pre-primary","Female",2865293.75,"education"
"Sub-Saharan Africa","SSF",1999,"Pre-primary","Female",2915852.5,"education"
"Sub-Saharan Africa","SSF",2000,"Pre-primary","Female",3214609,"education"
"Sub-Saharan Africa","SSF",2001,"Pre-primary","Female",3425156.5,"education"
"Sub-Saharan Africa","SSF",2002,"Pre-primary","Female",3890277.25,"education"
"Sub-Saharan Africa","SSF",2003,"Pre-primary","Female",4349169,"education"
"Sub-Saharan Africa","SSF",2004,"Pre-primary","Female",4909146,"education"
"Sub-Saharan Africa","SSF",2005,"Pre-primary","Female",5357611,"education"
"Sub-Saharan Africa","SSF",2006,"Pre-primary","Female",6019386,"education"
"Sub-Saharan Africa","SSF",2007,"Pre-primary","Female",5496919,"education"
"Sub-Saharan Africa","SSF",2008,"Pre-primary","Female",5526842.5,"education"
"Sub-Saharan Africa","SSF",2009,"Pre-primary","Female",5923627.5,"education"
"Sub-Saharan Africa","SSF",2010,"Pre-primary","Female",6306311.5,"education"
"Sub-Saharan Africa","SSF",2011,"Pre-primary","Female",6684681,"education"
"Sub-Saharan Africa","SSF",2012,"Pre-primary","Female",7520645.5,"education"
"Sub-Saharan Africa","SSF",2013,"Pre-primary","Female",8003149.5,"education"
"Sub-Saharan Africa","SSF",2014,"Pre-primary","Female",8930212,"education"
"Sub-Saharan Africa","SSF",2015,"Pre-primary","Female",NA,"education"
"Sub-Saharan Africa","SSF",2016,"Pre-primary","Female",NA,"education"
"Sub-Saharan Africa","SSF",2017,"Pre-primary","Female",NA,"education"
"East Asia & Pacific","EAS",1970,"Primary","Female",NA,"education"
"East Asia & Pacific","EAS",1971,"Primary","Female",NA,"education"
"East Asia & Pacific","EAS",1972,"Primary","Female",NA,"education"
"East Asia & Pacific","EAS",1973,"Primary","Female",81349392,"education"
"East Asia & Pacific","EAS",1974,"Primary","Female",85910664,"education"
"East Asia & Pacific","EAS",1975,"Primary","Female",95174208,"education"
"East Asia & Pacific","EAS",1976,"Primary","Female",101222304,"education"
"East Asia & Pacific","EAS",1977,"Primary","Female",102302504,"education"
"East Asia & Pacific","EAS",1978,"Primary","Female",101429744,"education"
"East Asia & Pacific","EAS",1979,"Primary","Female",101664864,"education"
"East Asia & Pacific","EAS",1980,"Primary","Female",103062008,"education"
"East Asia & Pacific","EAS",1981,"Primary","Female",103411976,"education"
"East Asia & Pacific","EAS",1982,"Primary","Female",102400128,"education"
"East Asia & Pacific","EAS",1983,"Primary","Female",101153920,"education"
"East Asia & Pacific","EAS",1984,"Primary","Female",99902688,"education"
"East Asia & Pacific","EAS",1985,"Primary","Female",99981800,"education"
"East Asia & Pacific","EAS",1986,"Primary","Female",100181304,"education"
"East Asia & Pacific","EAS",1987,"Primary","Female",100016232,"education"
"East Asia & Pacific","EAS",1988,"Primary","Female",98939192,"education"
"East Asia & Pacific","EAS",1989,"Primary","Female",98237440,"education"
"East Asia & Pacific","EAS",1990,"Primary","Female",97645856,"education"
"East Asia & Pacific","EAS",1991,"Primary","Female",97993032,"education"
"East Asia & Pacific","EAS",1992,"Primary","Female",98346048,"education"
"East Asia & Pacific","EAS",1993,"Primary","Female",98715784,"education"
"East Asia & Pacific","EAS",1994,"Primary","Female",100158120,"education"
"East Asia & Pacific","EAS",1995,"Primary","Female",102030656,"education"
"East Asia & Pacific","EAS",1996,"Primary","Female",103890192,"education"
"East Asia & Pacific","EAS",1997,"Primary","Female",106196992,"education"
"East Asia & Pacific","EAS",1998,"Primary","Female",108100664,"education"
"East Asia & Pacific","EAS",1999,"Primary","Female",108168264,"education"
"East Asia & Pacific","EAS",2000,"Primary","Female",106645448,"education"
"East Asia & Pacific","EAS",2001,"Primary","Female",103508016,"education"
"East Asia & Pacific","EAS",2002,"Primary","Female",101177208,"education"
"East Asia & Pacific","EAS",2003,"Primary","Female",99056424,"education"
"East Asia & Pacific","EAS",2004,"Primary","Female",101026928,"education"
"East Asia & Pacific","EAS",2005,"Primary","Female",94009568,"education"
"East Asia & Pacific","EAS",2006,"Primary","Female",91568864,"education"
"East Asia & Pacific","EAS",2007,"Primary","Female",90786592,"education"
"East Asia & Pacific","EAS",2008,"Primary","Female",89792480,"education"
"East Asia & Pacific","EAS",2009,"Primary","Female",88628160,"education"
"East Asia & Pacific","EAS",2010,"Primary","Female",87939816,"education"
"East Asia & Pacific","EAS",2011,"Primary","Female",87438200,"education"
"East Asia & Pacific","EAS",2012,"Primary","Female",87346104,"education"
"East Asia & Pacific","EAS",2013,"Primary","Female",86981424,"education"
"East Asia & Pacific","EAS",2014,"Primary","Female",85134432,"education"
"East Asia & Pacific","EAS",2015,"Primary","Female",NA,"education"
"East Asia & Pacific","EAS",2016,"Primary","Female",NA,"education"
"East Asia & Pacific","EAS",2017,"Primary","Female",NA,"education"
"Europe & Central Asia","ECS",1970,"Primary","Female",30222594,"education"
"Europe & Central Asia","ECS",1971,"Primary","Female",30226586,"education"
"Europe & Central Asia","ECS",1972,"Primary","Female",30067574,"education"
"Europe & Central Asia","ECS",1973,"Primary","Female",29775946,"education"
"Europe & Central Asia","ECS",1974,"Primary","Female",29428432,"education"
"Europe & Central Asia","ECS",1975,"Primary","Female",29104722,"education"
"Europe & Central Asia","ECS",1976,"Primary","Female",28915788,"education"
"Europe & Central Asia","ECS",1977,"Primary","Female",28484098,"education"
"Europe & Central Asia","ECS",1978,"Primary","Female",28252084,"education"
"Europe & Central Asia","ECS",1979,"Primary","Female",28084976,"education"
"Europe & Central Asia","ECS",1980,"Primary","Female",27923068,"education"
"Europe & Central Asia","ECS",1981,"Primary","Female",27644176,"education"
"Europe & Central Asia","ECS",1982,"Primary","Female",27632094,"education"
"Europe & Central Asia","ECS",1983,"Primary","Female",27530828,"education"
"Europe & Central Asia","ECS",1984,"Primary","Female",27639170,"education"
"Europe & Central Asia","ECS",1985,"Primary","Female",27603134,"education"
"Europe & Central Asia","ECS",1986,"Primary","Female",27639334,"education"
"Europe & Central Asia","ECS",1987,"Primary","Female",27785770,"education"
"Europe & Central Asia","ECS",1988,"Primary","Female",27869738,"education"
"Europe & Central Asia","ECS",1989,"Primary","Female",27762146,"education"
"Europe & Central Asia","ECS",1990,"Primary","Female",27773400,"education"
"Europe & Central Asia","ECS",1991,"Primary","Female",27827188,"education"
"Europe & Central Asia","ECS",1992,"Primary","Female",27724750,"education"
"Europe & Central Asia","ECS",1993,"Primary","Female",27710586,"education"
"Europe & Central Asia","ECS",1994,"Primary","Female",27646772,"education"
"Europe & Central Asia","ECS",1995,"Primary","Female",27642016,"education"
"Europe & Central Asia","ECS",1996,"Primary","Female",28142292,"education"
"Europe & Central Asia","ECS",1997,"Primary","Female",27983892,"education"
"Europe & Central Asia","ECS",1998,"Primary","Female",27632262,"education"
"Europe & Central Asia","ECS",1999,"Primary","Female",27176804,"education"
"Europe & Central Asia","ECS",2000,"Primary","Female",26497008,"education"
"Europe & Central Asia","ECS",2001,"Primary","Female",26007682,"education"
"Europe & Central Asia","ECS",2002,"Primary","Female",25570724,"education"
"Europe & Central Asia","ECS",2003,"Primary","Female",25060976,"education"
"Europe & Central Asia","ECS",2004,"Primary","Female",25337408,"education"
"Europe & Central Asia","ECS",2005,"Primary","Female",24705782,"education"
"Europe & Central Asia","ECS",2006,"Primary","Female",24283616,"education"
"Europe & Central Asia","ECS",2007,"Primary","Female",24010878,"education"
"Europe & Central Asia","ECS",2008,"Primary","Female",23811378,"education"
"Europe & Central Asia","ECS",2009,"Primary","Female",23591404,"education"
"Europe & Central Asia","ECS",2010,"Primary","Female",23580116,"education"
"Europe & Central Asia","ECS",2011,"Primary","Female",23663362,"education"
"Europe & Central Asia","ECS",2012,"Primary","Female",23731708,"education"
"Europe & Central Asia","ECS",2013,"Primary","Female",23782958,"education"
"Europe & Central Asia","ECS",2014,"Primary","Female",24024792,"education"
"Europe & Central Asia","ECS",2015,"Primary","Female",NA,"education"
"Europe & Central Asia","ECS",2016,"Primary","Female",NA,"education"
"Europe & Central Asia","ECS",2017,"Primary","Female",NA,"education"
"Latin America & Caribbean","LCN",1970,"Primary","Female",20913826,"education"
