"income.Name","income.Code","Year","Education","Gender","Number.of.Enrolment","Vizside"
"High income","HIC",2002,"Pre-primary","Female",13162810,"education"
"High income","HIC",2003,"Pre-primary","Female",12805328,"education"
"High income","HIC",2004,"Pre-primary","Female",12694664,"education"
"High income","HIC",2005,"Pre-primary","Female",13322896,"education"
"High income","HIC",2006,"Pre-primary","Female",13467889,"education"
"High income","HIC",2007,"Pre-primary","Female",13587470,"education"
"High income","HIC",2008,"Pre-primary","Female",13760950,"education"
"High income","HIC",2009,"Pre-primary","Female",13922432,"education"
"High income","HIC",2010,"Pre-primary","Female",14392393,"education"
"High income","HIC",2011,"Pre-primary","Female",14652840,"education"
"High income","HIC",2012,"Pre-primary","Female",14836819,"education"
"High income","HIC",2013,"Pre-primary","Female",14977173,"education"
"High income","HIC",2014,"Pre-primary","Female",15248104,"education"
"High income","HIC",2015,"Pre-primary","Female",15134983,"education"
"High income","HIC",2016,"Pre-primary","Female",NA,"education"
"High income","HIC",2017,"Pre-primary","Female",NA,"education"
"Low income","LIC",1970,"Pre-primary","Female",NA,"education"
"Low income","LIC",1971,"Pre-primary","Female",NA,"education"
"Low income","LIC",1972,"Pre-primary","Female",857782.3125,"education"
"Low income","LIC",1973,"Pre-primary","Female",916909.5,"education"
"Low income","LIC",1974,"Pre-primary","Female",977867.9375,"education"
"Low income","LIC",1975,"Pre-primary","Female",1026116.625,"education"
"Low income","LIC",1976,"Pre-primary","Female",1045677.3125,"education"
"Low income","LIC",1977,"Pre-primary","Female",1062037.375,"education"
"Low income","LIC",1978,"Pre-primary","Female",1075836.5,"education"
"Low income","LIC",1979,"Pre-primary","Female",1084048.125,"education"
"Low income","LIC",1980,"Pre-primary","Female",1088060,"education"
"Low income","LIC",1981,"Pre-primary","Female",1097832.625,"education"
"Low income","LIC",1982,"Pre-primary","Female",1107832.5,"education"
"Low income","LIC",1983,"Pre-primary","Female",1079715.75,"education"
"Low income","LIC",1984,"Pre-primary","Female",1070300.125,"education"
"Low income","LIC",1985,"Pre-primary","Female",1083436.75,"education"
"Low income","LIC",1986,"Pre-primary","Female",1135412.75,"education"
"Low income","LIC",1987,"Pre-primary","Female",1267194.875,"education"
"Low income","LIC",1988,"Pre-primary","Female",1350720.125,"education"
"Low income","LIC",1989,"Pre-primary","Female",1426682,"education"
"Low income","LIC",1990,"Pre-primary","Female",1483201.625,"education"
"Low income","LIC",1991,"Pre-primary","Female",1517430.25,"education"
"Low income","LIC",1992,"Pre-primary","Female",1546533.125,"education"
"Low income","LIC",1993,"Pre-primary","Female",1569977.625,"education"
"Low income","LIC",1994,"Pre-primary","Female",1590272.25,"education"
"Low income","LIC",1995,"Pre-primary","Female",1614093.875,"education"
"Low income","LIC",1996,"Pre-primary","Female",1702302.125,"education"
"Low income","LIC",1997,"Pre-primary","Female",1611318.625,"education"
"Low income","LIC",1998,"Pre-primary","Female",1898308.625,"education"
"Low income","LIC",1999,"Pre-primary","Female",1983687.5,"education"
"Low income","LIC",2000,"Pre-primary","Female",2077432.25,"education"
"Low income","LIC",2001,"Pre-primary","Female",2143752.5,"education"
"Low income","LIC",2002,"Pre-primary","Female",2232532.25,"education"
"Low income","LIC",2003,"Pre-primary","Female",2314144.5,"education"
"Low income","LIC",2004,"Pre-primary","Female",2423706.5,"education"
"Low income","LIC",2005,"Pre-primary","Female",2704073,"education"
"Low income","LIC",2006,"Pre-primary","Female",2849899,"education"
"Low income","LIC",2007,"Pre-primary","Female",3048783,"education"
"Low income","LIC",2008,"Pre-primary","Female",3386362.5,"education"
"Low income","LIC",2009,"Pre-primary","Female",3585395.5,"education"
"Low income","LIC",2010,"Pre-primary","Female",3691287.25,"education"
"Low income","LIC",2011,"Pre-primary","Female",3889899.75,"education"
"Low income","LIC",2012,"Pre-primary","Female",4494526.5,"education"
"Low income","LIC",2013,"Pre-primary","Female",4806733.5,"education"
"Low income","LIC",2014,"Pre-primary","Female",5092539,"education"
"Low income","LIC",2015,"Pre-primary","Female",5434230.5,"education"
"Low income","LIC",2016,"Pre-primary","Female",NA,"education"
"Low income","LIC",2017,"Pre-primary","Female",NA,"education"
"Lower middle income","LMC",1970,"Pre-primary","Female",4232266,"education"
"Lower middle income","LMC",1971,"Pre-primary","Female",4311179.5,"education"
"Lower middle income","LMC",1972,"Pre-primary","Female",4458199.5,"education"
"Lower middle income","LMC",1973,"Pre-primary","Female",4607043,"education"
"Lower middle income","LMC",1974,"Pre-primary","Female",4804429,"education"
"Lower middle income","LMC",1975,"Pre-primary","Female",5181246,"education"
"Lower middle income","LMC",1976,"Pre-primary","Female",5458063.5,"education"
"Lower middle income","LMC",1977,"Pre-primary","Female",5818394.5,"education"
"Lower middle income","LMC",1978,"Pre-primary","Female",6276572.5,"education"
"Lower middle income","LMC",1979,"Pre-primary","Female",6603708,"education"
"Lower middle income","LMC",1980,"Pre-primary","Female",7179984.5,"education"
"Lower middle income","LMC",1981,"Pre-primary","Female",7214591.5,"education"
"Lower middle income","LMC",1982,"Pre-primary","Female",7507785.5,"education"
"Lower middle income","LMC",1983,"Pre-primary","Female",7745565.5,"education"
"Lower middle income","LMC",1984,"Pre-primary","Female",8082444.5,"education"
"Lower middle income","LMC",1985,"Pre-primary","Female",8370184,"education"
"Lower middle income","LMC",1986,"Pre-primary","Female",8810013,"education"
"Lower middle income","LMC",1987,"Pre-primary","Female",9116200,"education"
"Lower middle income","LMC",1988,"Pre-primary","Female",9671212,"education"
"Lower middle income","LMC",1989,"Pre-primary","Female",9836359,"education"
"Lower middle income","LMC",1990,"Pre-primary","Female",9889567,"education"
"Lower middle income","LMC",1991,"Pre-primary","Female",10019752,"education"
"Lower middle income","LMC",1992,"Pre-primary","Female",9970930,"education"
"Lower middle income","LMC",1993,"Pre-primary","Female",9843035,"education"
"Lower middle income","LMC",1994,"Pre-primary","Female",10058194,"education"
"Lower middle income","LMC",1995,"Pre-primary","Female",10203300,"education"
"Lower middle income","LMC",1996,"Pre-primary","Female",10199082,"education"
"Lower middle income","LMC",1997,"Pre-primary","Female",10462502,"education"
"Lower middle income","LMC",1998,"Pre-primary","Female",11601500,"education"
"Lower middle income","LMC",1999,"Pre-primary","Female",10411996,"education"
"Lower middle income","LMC",2000,"Pre-primary","Female",10387220,"education"
"Lower middle income","LMC",2001,"Pre-primary","Female",10306612,"education"
"Lower middle income","LMC",2002,"Pre-primary","Female",11203742,"education"
"Lower middle income","LMC",2003,"Pre-primary","Female",11819621,"education"
"Lower middle income","LMC",2004,"Pre-primary","Female",12198475,"education"
"Lower middle income","LMC",2005,"Pre-primary","Female",12658954,"education"
"Lower middle income","LMC",2006,"Pre-primary","Female",14213963,"education"
"Lower middle income","LMC",2007,"Pre-primary","Female",15119504,"education"
"Lower middle income","LMC",2008,"Pre-primary","Female",16336277,"education"
"Lower middle income","LMC",2009,"Pre-primary","Female",16577262,"education"
"Lower middle income","LMC",2010,"Pre-primary","Female",16669145,"education"
"Lower middle income","LMC",2011,"Pre-primary","Female",18220860,"education"
"Lower middle income","LMC",2012,"Pre-primary","Female",19889976,"education"
"Lower middle income","LMC",2013,"Pre-primary","Female",21777744,"education"
"Lower middle income","LMC",2014,"Pre-primary","Female",23086874,"education"
"Lower middle income","LMC",2015,"Pre-primary","Female",23617388,"education"
"Lower middle income","LMC",2016,"Pre-primary","Female",NA,"education"
"Lower middle income","LMC",2017,"Pre-primary","Female",NA,"education"
"Middle income","MIC",1970,"Pre-primary","Female",NA,"education"
"Middle income","MIC",1971,"Pre-primary","Female",NA,"education"
"Middle income","MIC",1972,"Pre-primary","Female",10756147,"education"
"Middle income","MIC",1973,"Pre-primary","Female",10928533,"education"
"Middle income","MIC",1974,"Pre-primary","Female",11192715,"education"
"Middle income","MIC",1975,"Pre-primary","Female",11868782,"education"
"Middle income","MIC",1976,"Pre-primary","Female",14124139,"education"
"Middle income","MIC",1977,"Pre-primary","Female",18474118,"education"
"Middle income","MIC",1978,"Pre-primary","Female",16881936,"education"
"Middle income","MIC",1979,"Pre-primary","Female",17093018,"education"
"Middle income","MIC",1980,"Pre-primary","Female",18373256,"education"
"Middle income","MIC",1981,"Pre-primary","Female",20048556,"education"
"Middle income","MIC",1982,"Pre-primary","Female",20414038,"education"
"Middle income","MIC",1983,"Pre-primary","Female",21297460,"education"
"Middle income","MIC",1984,"Pre-primary","Female",22233700,"education"
"Middle income","MIC",1985,"Pre-primary","Female",23495806,"education"
"Middle income","MIC",1986,"Pre-primary","Female",25478496,"education"
"Middle income","MIC",1987,"Pre-primary","Female",27785796,"education"
"Middle income","MIC",1988,"Pre-primary","Female",29424644,"education"
"Middle income","MIC",1989,"Pre-primary","Female",30147238,"education"
"Middle income","MIC",1990,"Pre-primary","Female",30746956,"education"
"Middle income","MIC",1991,"Pre-primary","Female",31480638,"education"
"Middle income","MIC",1992,"Pre-primary","Female",32640570,"education"
"Middle income","MIC",1993,"Pre-primary","Female",33642676,"education"
"Middle income","MIC",1994,"Pre-primary","Female",34138836,"education"
"Middle income","MIC",1995,"Pre-primary","Female",34693008,"education"
"Middle income","MIC",1996,"Pre-primary","Female",34971180,"education"
"Middle income","MIC",1997,"Pre-primary","Female",34827032,"education"
"Middle income","MIC",1998,"Pre-primary","Female",35117816,"education"
"Middle income","MIC",1999,"Pre-primary","Female",33110736,"education"
"Middle income","MIC",2000,"Pre-primary","Female",33039728,"education"
"Middle income","MIC",2001,"Pre-primary","Female",32748554,"education"
"Middle income","MIC",2002,"Pre-primary","Female",32658244,"education"
"Middle income","MIC",2003,"Pre-primary","Female",33698948,"education"
"Middle income","MIC",2004,"Pre-primary","Female",34752144,"education"
"Middle income","MIC",2005,"Pre-primary","Female",35807300,"education"
"Middle income","MIC",2006,"Pre-primary","Female",38288180,"education"
"Middle income","MIC",2007,"Pre-primary","Female",38961232,"education"
"Middle income","MIC",2008,"Pre-primary","Female",40921084,"education"
"Middle income","MIC",2009,"Pre-primary","Female",42052508,"education"
"Middle income","MIC",2010,"Pre-primary","Female",43187984,"education"
"Middle income","MIC",2011,"Pre-primary","Female",46503128,"education"
"Middle income","MIC",2012,"Pre-primary","Female",50829948,"education"
"Middle income","MIC",2013,"Pre-primary","Female",54476716,"education"
"Middle income","MIC",2014,"Pre-primary","Female",57175772,"education"
"Middle income","MIC",2015,"Pre-primary","Female",58911888,"education"
"Middle income","MIC",2016,"Pre-primary","Female",NA,"education"
"Middle income","MIC",2017,"Pre-primary","Female",NA,"education"
"Upper middle income","UMC",1970,"Pre-primary","Female",NA,"education"
"Upper middle income","UMC",1971,"Pre-primary","Female",NA,"education"
"Upper middle income","UMC",1972,"Pre-primary","Female",NA,"education"
"Upper middle income","UMC",1973,"Pre-primary","Female",NA,"education"
"Upper middle income","UMC",1974,"Pre-primary","Female",NA,"education"
"Upper middle income","UMC",1975,"Pre-primary","Female",NA,"education"
"Upper middle income","UMC",1976,"Pre-primary","Female",NA,"education"
"Upper middle income","UMC",1977,"Pre-primary","Female",NA,"education"
"Upper middle income","UMC",1978,"Pre-primary","Female",NA,"education"
"Upper middle income","UMC",1979,"Pre-primary","Female",NA,"education"
"Upper middle income","UMC",1980,"Pre-primary","Female",NA,"education"
"Upper middle income","UMC",1981,"Pre-primary","Female",NA,"education"
"Upper middle income","UMC",1982,"Pre-primary","Female",NA,"education"
"Upper middle income","UMC",1983,"Pre-primary","Female",13551895,"education"
"Upper middle income","UMC",1984,"Pre-primary","Female",14151254,"education"
"Upper middle income","UMC",1985,"Pre-primary","Female",15125622,"education"
"Upper middle income","UMC",1986,"Pre-primary","Female",16668482,"education"
"Upper middle income","UMC",1987,"Pre-primary","Female",18669594,"education"
"Upper middle income","UMC",1988,"Pre-primary","Female",19753432,"education"
"Upper middle income","UMC",1989,"Pre-primary","Female",20310880,"education"
"Upper middle income","UMC",1990,"Pre-primary","Female",20857388,"education"
"Upper middle income","UMC",1991,"Pre-primary","Female",21460886,"education"
"Upper middle income","UMC",1992,"Pre-primary","Female",22669642,"education"
"Upper middle income","UMC",1993,"Pre-primary","Female",23799640,"education"
"Upper middle income","UMC",1994,"Pre-primary","Female",24080640,"education"
"Upper middle income","UMC",1995,"Pre-primary","Female",24489708,"education"
"Upper middle income","UMC",1996,"Pre-primary","Female",24772098,"education"
"Upper middle income","UMC",1997,"Pre-primary","Female",24364528,"education"
"Upper middle income","UMC",1998,"Pre-primary","Female",23516314,"education"
"Upper middle income","UMC",1999,"Pre-primary","Female",22698740,"education"
"Upper middle income","UMC",2000,"Pre-primary","Female",22652508,"education"
"Upper middle income","UMC",2001,"Pre-primary","Female",22441942,"education"
"Upper middle income","UMC",2002,"Pre-primary","Female",21454502,"education"
"Upper middle income","UMC",2003,"Pre-primary","Female",21879326,"education"
"Upper middle income","UMC",2004,"Pre-primary","Female",22553668,"education"
"Upper middle income","UMC",2005,"Pre-primary","Female",23148348,"education"
"Upper middle income","UMC",2006,"Pre-primary","Female",24074216,"education"
"Upper middle income","UMC",2007,"Pre-primary","Female",23841728,"education"
"Upper middle income","UMC",2008,"Pre-primary","Female",24584808,"education"
"Upper middle income","UMC",2009,"Pre-primary","Female",25475248,"education"
"Upper middle income","UMC",2010,"Pre-primary","Female",26518840,"education"
"Upper middle income","UMC",2011,"Pre-primary","Female",28282270,"education"
"Upper middle income","UMC",2012,"Pre-primary","Female",30939974,"education"
"Upper middle income","UMC",2013,"Pre-primary","Female",32698972,"education"
"Upper middle income","UMC",2014,"Pre-primary","Female",34088900,"education"
"Upper middle income","UMC",2015,"Pre-primary","Female",35294500,"education"
"Upper middle income","UMC",2016,"Pre-primary","Female",NA,"education"
"Upper middle income","UMC",2017,"Pre-primary","Female",NA,"education"
"High income","HIC",1970,"Primary","Female",41637416,"education"
"High income","HIC",1971,"Primary","Female",41900728,"education"
"High income","HIC",1972,"Primary","Female",41879588,"education"
"High income","HIC",1973,"Primary","Female",41911040,"education"
"High income","HIC",1974,"Primary","Female",41304496,"education"
"High income","HIC",1975,"Primary","Female",40919312,"education"
"High income","HIC",1976,"Primary","Female",40689264,"education"
"High income","HIC",1977,"Primary","Female",40180904,"education"
"High income","HIC",1978,"Primary","Female",39880528,"education"
"High income","HIC",1979,"Primary","Female",39538176,"education"
"High income","HIC",1980,"Primary","Female",40262196,"education"
"High income","HIC",1981,"Primary","Female",39905276,"education"
"High income","HIC",1982,"Primary","Female",39758488,"education"
"High income","HIC",1983,"Primary","Female",39103216,"education"
"High income","HIC",1984,"Primary","Female",38601120,"education"
"High income","HIC",1985,"Primary","Female",38251884,"education"
"High income","HIC",1986,"Primary","Female",38022572,"education"
"High income","HIC",1987,"Primary","Female",37863232,"education"
"High income","HIC",1988,"Primary","Female",37838908,"education"
"High income","HIC",1989,"Primary","Female",37966516,"education"
"High income","HIC",1990,"Primary","Female",38174432,"education"
"High income","HIC",1991,"Primary","Female",38052012,"education"
"High income","HIC",1992,"Primary","Female",37979844,"education"
"High income","HIC",1993,"Primary","Female",38008368,"education"
"High income","HIC",1994,"Primary","Female",38049380,"education"
"High income","HIC",1995,"Primary","Female",38204656,"education"
"High income","HIC",1996,"Primary","Female",38364592,"education"
"High income","HIC",1997,"Primary","Female",38466876,"education"
"High income","HIC",1998,"Primary","Female",38746572,"education"
"High income","HIC",1999,"Primary","Female",38797088,"education"
"High income","HIC",2000,"Primary","Female",38414020,"education"
"High income","HIC",2001,"Primary","Female",38463304,"education"
"High income","HIC",2002,"Primary","Female",38107812,"education"
"High income","HIC",2003,"Primary","Female",37882056,"education"
"High income","HIC",2004,"Primary","Female",37635600,"education"
"High income","HIC",2005,"Primary","Female",37440652,"education"
"High income","HIC",2006,"Primary","Female",37326472,"education"
"High income","HIC",2007,"Primary","Female",37201696,"education"
"High income","HIC",2008,"Primary","Female",37146352,"education"
"High income","HIC",2009,"Primary","Female",36930292,"education"
"High income","HIC",2010,"Primary","Female",36655376,"education"
"High income","HIC",2011,"Primary","Female",36658164,"education"
"High income","HIC",2012,"Primary","Female",36535600,"education"
"High income","HIC",2013,"Primary","Female",36757992,"education"
"High income","HIC",2014,"Primary","Female",36966988,"education"
"High income","HIC",2015,"Primary","Female",37398176,"education"
"High income","HIC",2016,"Primary","Female",NA,"education"
"High income","HIC",2017,"Primary","Female",NA,"education"
"Low income","LIC",1970,"Primary","Female",5315362,"education"
"Low income","LIC",1971,"Primary","Female",5413809.5,"education"
"Low income","LIC",1972,"Primary","Female",5643247,"education"
"Low income","LIC",1973,"Primary","Female",5959084,"education"
"Low income","LIC",1974,"Primary","Female",6389665,"education"
"Low income","LIC",1975,"Primary","Female",6925286,"education"
"Low income","LIC",1976,"Primary","Female",7619025,"education"
"Low income","LIC",1977,"Primary","Female",8355896.5,"education"
"Low income","LIC",1978,"Primary","Female",9047517,"education"
"Low income","LIC",1979,"Primary","Female",9610154,"education"
"Low income","LIC",1980,"Primary","Female",10454736,"education"
"Low income","LIC",1981,"Primary","Female",11287990,"education"
"Low income","LIC",1982,"Primary","Female",11666995,"education"
"Low income","LIC",1983,"Primary","Female",12002043,"education"
"Low income","LIC",1984,"Primary","Female",12317442,"education"
"Low income","LIC",1985,"Primary","Female",12205312,"education"
"Low income","LIC",1986,"Primary","Female",12489544,"education"
"Low income","LIC",1987,"Primary","Female",12729256,"education"
"Low income","LIC",1988,"Primary","Female",13013328,"education"
"Low income","LIC",1989,"Primary","Female",13346613,"education"
"Low income","LIC",1990,"Primary","Female",13475466,"education"
"Low income","LIC",1991,"Primary","Female",14463290,"education"
"Low income","LIC",1992,"Primary","Female",14663841,"education"
"Low income","LIC",1993,"Primary","Female",15282355,"education"
"Low income","LIC",1994,"Primary","Female",16096433,"education"
"Low income","LIC",1995,"Primary","Female",17155108,"education"
"Low income","LIC",1996,"Primary","Female",17742722,"education"
"Low income","LIC",1997,"Primary","Female",19719990,"education"
"Low income","LIC",1998,"Primary","Female",20683062,"education"
"Low income","LIC",1999,"Primary","Female",21449662,"education"
"Low income","LIC",2000,"Primary","Female",22941430,"education"
"Low income","LIC",2001,"Primary","Female",24635514,"education"
"Low income","LIC",2002,"Primary","Female",27321168,"education"
"Low income","LIC",2003,"Primary","Female",29593754,"education"
"Low income","LIC",2004,"Primary","Female",31384758,"education"
"Low income","LIC",2005,"Primary","Female",33809316,"education"
"Low income","LIC",2006,"Primary","Female",36251760,"education"
"Low income","LIC",2007,"Primary","Female",38415156,"education"
"Low income","LIC",2008,"Primary","Female",41140512,"education"
"Low income","LIC",2009,"Primary","Female",42781716,"education"
"Low income","LIC",2010,"Primary","Female",44150840,"education"
"Low income","LIC",2011,"Primary","Female",45466616,"education"
"Low income","LIC",2012,"Primary","Female",47108136,"education"
"Low income","LIC",2013,"Primary","Female",48655120,"education"
"Low income","LIC",2014,"Primary","Female",50064968,"education"
"Low income","LIC",2015,"Primary","Female",51168288,"education"
"Low income","LIC",2016,"Primary","Female",NA,"education"
"Low income","LIC",2017,"Primary","Female",NA,"education"
"Lower middle income","LMC",1970,"Primary","Female",50579936,"education"
"Lower middle income","LMC",1971,"Primary","Female",51807216,"education"
"Lower middle income","LMC",1972,"Primary","Female",54118548,"education"
"Lower middle income","LMC",1973,"Primary","Female",56964108,"education"
"Lower middle income","LMC",1974,"Primary","Female",58114212,"education"
"Lower middle income","LMC",1975,"Primary","Female",60460156,"education"
"Lower middle income","LMC",1976,"Primary","Female",62317916,"education"
"Lower middle income","LMC",1977,"Primary","Female",65658008,"education"
"Lower middle income","LMC",1978,"Primary","Female",66988588,"education"
"Lower middle income","LMC",1979,"Primary","Female",70024400,"education"
"Lower middle income","LMC",1980,"Primary","Female",73057624,"education"
"Lower middle income","LMC",1981,"Primary","Female",76485096,"education"
"Lower middle income","LMC",1982,"Primary","Female",79972128,"education"
"Lower middle income","LMC",1983,"Primary","Female",83181848,"education"
"Lower middle income","LMC",1984,"Primary","Female",86266544,"education"
"Lower middle income","LMC",1985,"Primary","Female",88286376,"education"
"Lower middle income","LMC",1986,"Primary","Female",90546480,"education"
"Lower middle income","LMC",1987,"Primary","Female",91940472,"education"
"Lower middle income","LMC",1988,"Primary","Female",95310768,"education"
"Lower middle income","LMC",1989,"Primary","Female",98461096,"education"
"Lower middle income","LMC",1990,"Primary","Female",99889824,"education"
"Lower middle income","LMC",1991,"Primary","Female",103342120,"education"
"Lower middle income","LMC",1992,"Primary","Female",106271472,"education"
"Lower middle income","LMC",1993,"Primary","Female",110486184,"education"
"Lower middle income","LMC",1994,"Primary","Female",113808280,"education"
"Lower middle income","LMC",1995,"Primary","Female",114582512,"education"
"Lower middle income","LMC",1996,"Primary","Female",115720880,"education"
"Lower middle income","LMC",1997,"Primary","Female",118139344,"education"
"Lower middle income","LMC",1998,"Primary","Female",119129624,"education"
"Lower middle income","LMC",1999,"Primary","Female",121216712,"education"
"Lower middle income","LMC",2000,"Primary","Female",123751832,"education"
"Lower middle income","LMC",2001,"Primary","Female",124982792,"education"
"Lower middle income","LMC",2002,"Primary","Female",127032888,"education"
"Lower middle income","LMC",2003,"Primary","Female",136346208,"education"
"Lower middle income","LMC",2004,"Primary","Female",139186672,"education"
"Lower middle income","LMC",2005,"Primary","Female",142680176,"education"
"Lower middle income","LMC",2006,"Primary","Female",144562784,"education"
"Lower middle income","LMC",2007,"Primary","Female",147237040,"education"
"Lower middle income","LMC",2008,"Primary","Female",148807056,"education"
"Lower middle income","LMC",2009,"Primary","Female",150329568,"education"
"Lower middle income","LMC",2010,"Primary","Female",152461856,"education"
"Lower middle income","LMC",2011,"Primary","Female",154628992,"education"
"Lower middle income","LMC",2012,"Primary","Female",158125696,"education"
"Lower middle income","LMC",2013,"Primary","Female",162007568,"education"
"Lower middle income","LMC",2014,"Primary","Female",160384464,"education"
"Lower middle income","LMC",2015,"Primary","Female",161918864,"education"
"Lower middle income","LMC",2016,"Primary","Female",NA,"education"
"Lower middle income","LMC",2017,"Primary","Female",NA,"education"
"Middle income","MIC",1970,"Primary","Female",127496680,"education"
"Middle income","MIC",1971,"Primary","Female",131567072,"education"
"Middle income","MIC",1972,"Primary","Female",137226992,"education"
"Middle income","MIC",1973,"Primary","Female",146547584,"education"
"Middle income","MIC",1974,"Primary","Female",152663056,"education"
"Middle income","MIC",1975,"Primary","Female",163686448,"education"
"Middle income","MIC",1976,"Primary","Female",171127008,"education"
"Middle income","MIC",1977,"Primary","Female",175734672,"education"
"Middle income","MIC",1978,"Primary","Female",176155584,"education"
"Middle income","MIC",1979,"Primary","Female",180107888,"education"
"Middle income","MIC",1980,"Primary","Female",184634336,"education"
"Middle income","MIC",1981,"Primary","Female",188073408,"education"
"Middle income","MIC",1982,"Primary","Female",190478224,"education"
"Middle income","MIC",1983,"Primary","Female",192044512,"education"
"Middle income","MIC",1984,"Primary","Female",194802672,"education"
"Middle income","MIC",1985,"Primary","Female",197320816,"education"
"Middle income","MIC",1986,"Primary","Female",203053872,"education"
"Middle income","MIC",1987,"Primary","Female",202574320,"education"
"Middle income","MIC",1988,"Primary","Female",206003136,"education"
"Middle income","MIC",1989,"Primary","Female",209063872,"education"
"Middle income","MIC",1990,"Primary","Female",211744128,"education"
"Middle income","MIC",1991,"Primary","Female",214939584,"education"
"Middle income","MIC",1992,"Primary","Female",218584992,"education"
"Middle income","MIC",1993,"Primary","Female",223506928,"education"
"Middle income","MIC",1994,"Primary","Female",228383088,"education"
"Middle income","MIC",1995,"Primary","Female",233577088,"education"
"Middle income","MIC",1996,"Primary","Female",236521936,"education"
"Middle income","MIC",1997,"Primary","Female",239808080,"education"
"Middle income","MIC",1998,"Primary","Female",243350640,"education"
"Middle income","MIC",1999,"Primary","Female",244454224,"education"
"Middle income","MIC",2000,"Primary","Female",244696080,"education"
"Middle income","MIC",2001,"Primary","Female",242342880,"education"
"Middle income","MIC",2002,"Primary","Female",241757584,"education"
"Middle income","MIC",2003,"Primary","Female",248240416,"education"
"Middle income","MIC",2004,"Primary","Female",253448464,"education"
"Middle income","MIC",2005,"Primary","Female",249308048,"education"
"Middle income","MIC",2006,"Primary","Female",248722832,"education"
"Middle income","MIC",2007,"Primary","Female",250856464,"education"
"Middle income","MIC",2008,"Primary","Female",251323664,"education"
"Middle income","MIC",2009,"Primary","Female",251048720,"education"
"Middle income","MIC",2010,"Primary","Female",251481472,"education"
"Middle income","MIC",2011,"Primary","Female",252792656,"education"
"Middle income","MIC",2012,"Primary","Female",256087520,"education"
"Middle income","MIC",2013,"Primary","Female",261186832,"education"
"Middle income","MIC",2014,"Primary","Female",257954224,"education"
"Middle income","MIC",2015,"Primary","Female",260402720,"education"
"Middle income","MIC",2016,"Primary","Female",NA,"education"
"Middle income","MIC",2017,"Primary","Female",NA,"education"
"Upper middle income","UMC",1970,"Primary","Female",76916744,"education"
"Upper middle income","UMC",1971,"Primary","Female",79759856,"education"
"Upper middle income","UMC",1972,"Primary","Female",83108448,"education"
"Upper middle income","UMC",1973,"Primary","Female",89583480,"education"
"Upper middle income","UMC",1974,"Primary","Female",94548840,"education"
"Upper middle income","UMC",1975,"Primary","Female",103226296,"education"
"Upper middle income","UMC",1976,"Primary","Female",108809096,"education"
"Upper middle income","UMC",1977,"Primary","Female",110076664,"education"
"Upper middle income","UMC",1978,"Primary","Female",109166992,"education"
"Upper middle income","UMC",1979,"Primary","Female",110083488,"education"
"Upper middle income","UMC",1980,"Primary","Female",111576712,"education"
"Upper middle income","UMC",1981,"Primary","Female",111588320,"education"
"Upper middle income","UMC",1982,"Primary","Female",110506096,"education"
"Upper middle income","UMC",1983,"Primary","Female",108862664,"education"
"Upper middle income","UMC",1984,"Primary","Female",108536128,"education"
"Upper middle income","UMC",1985,"Primary","Female",109034432,"education"
"Upper middle income","UMC",1986,"Primary","Female",112507384,"education"
"Upper middle income","UMC",1987,"Primary","Female",110633848,"education"
"Upper middle income","UMC",1988,"Primary","Female",110692368,"education"
